%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% Data from tests on timber specimens
%
% provided by Lehrstuhl für Holzbau und Baukonstruktion, TUM
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% Specimen	Density		Tensile strength    	Strain    	Young'sModulus
% Nr.		[kg/m³]		[N/mm²]			[-]		[N/mm²]	
%
%
% [5*50]
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

1	407.8	37.1	3.62E-03	10237
2	481.6	36.9	5.31E-03	6951
3	484.5	40.5	3.31E-03	12242
4	502.7	46.8	2.25E-03	20814
5	510.0	37.6	2.00E-03	18815
6	593.8	30.0	2.31E-03	13005
7	499.1	29.0	2.93E-03	9886
8	463.0	27.5	3.37E-03	8155
9	510.4	30.7	2.68E-03	11437
10	446.6	43.9	3.75E-03	11718
11	418.9	29.2	3.50E-03	8348
12	412.7	28.7	3.06E-03	9368
13	460.8	18.3	1.81E-03	10123
14	530.4	34.3	2.93E-03	11677
15	418.9	35.0	3.25E-03	10770
16	448.8	58.0	5.81E-03	9993
17	482.7	20.9	2.37E-03	8808
18	513.3	26.8	2.31E-03	11598
19	449.9	18.4	1.94E-03	9530
20	442.6	34.0	3.18E-03	10669
21	507.8	28.4	2.25E-03	12648
22	450.3	35.2	3.00E-03	11765
23	427.7	27.1	2.25E-03	12076
24	487.8	38.0	2.93E-03	12950
25	385.8	28.0	3.18E-03	8799
26	446.6	30.3	3.87E-03	7841
27	422.2	54.9	4.37E-03	12568
28	453.9	55.4	4.68E-03	11830
29	426.2	32.8	2.81E-03	11676
30	423.3	39.5	4.12E-03	9576
31	397.4	19.3	2.31E-03	8364
32	471.0	54.2	4.31E-03	12574
33	483.1	23.1	3.50E-03	6611
34	463.0	50.3	4.06E-03	12399
35	546.1	66.5	4.74E-03	14024
36	451.4	32.7	2.68E-03	12176
37	422.6	35.7	3.31E-03	10796
38	429.1	36.2	3.18E-03	11384
39	470.7	26.4	2.56E-03	10330
40	559.2	54.8	4.31E-03	12723
41	445.5	27.5	2.18E-03	12608
42	457.9	25.3	3.18E-03	7956
43	455.4	48.3	3.75E-03	12886
44	392.3	47.7	4.43E-03	10771
45	431.0	52.9	4.74E-03	11158
46	518.0	29.9	3.25E-03	9223
47	412.4	42.4	4.06E-03	10457
48	470.7	24.8	3.00E-03	8278
49	460.1	28.9	3.37E-03	8587
50	468.5	26.0	2.62E-03	9928


